+--------+--------------------+------------------+-------------------+---------------------------+-------------------------+
| Bin#   |       DYJETS       |      ttbar       |       Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+--------------------+------------------+-------------------+---------------------------+-------------------------+
| Bin0   |       0 ± 0        |      0 ± 0       |       0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |       0 ± 0        |      0 ± 0       |       0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin2   |       0 ± 0        |      0 ± 0       |       0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin3   |    7699 ± 686.7    |   1587 ± 23.25   |   9286 ± 687.1    |     0.7914 ± 0.09742      |     1.858 ± 0.1215      |
| Bin4   |  4.332e+04 ± 1619  |   7328 ± 49.96   | 5.065e+04 ± 1619  |      6.127 ± 0.2711       |     11.92 ± 0.3077      |
| Bin5   |  2.405e+04 ± 1169  |   2856 ± 31.2    |  2.69e+04 ± 1169  |      4.557 ± 0.2338       |     10.94 ± 0.2948      |
| Bin6   | 1.213e+04 ± 826.1  |   1268 ± 20.79   | 1.34e+04 ± 826.4  |      3.681 ± 0.2101       |     10.48 ± 0.2884      |
| Bin7   |    6751 ± 602.2    |  620.3 ± 14.57   |   7371 ± 602.4    |      3.549 ± 0.2063       |     9.927 ± 0.2808      |
| Bin8   |    3403 ± 437.5    |  342.2 ± 10.81   |   3745 ± 437.7    |      2.734 ± 0.1811       |     7.894 ± 0.2504      |
| Bin9   |    1925 ± 314.4    |  190.5 ± 8.038   |   2115 ± 314.5    |      2.602 ± 0.1766       |      7.561 ± 0.245      |
| Bin10  |   976.3 ± 244.8    |  115.5 ± 6.266   |   1092 ± 244.9    |      2.146 ± 0.1604       |     6.902 ± 0.2341      |
| Bin11  |   446.3 ± 216.1    |   87.5 ± 5.437   |   533.8 ± 216.1   |      1.727 ± 0.1439       |     5.774 ± 0.2141      |
| Bin12  |   251.1 ± 133.8    |  58.78 ± 4.456   |   309.8 ± 133.9   |      1.427 ± 0.1308       |     4.972 ± 0.1987      |
| Bin13  |   306.9 ± 139.5    |  38.51 ± 3.607   |   345.4 ± 139.5   |      1.415 ± 0.1303       |     4.289 ± 0.1846      |
| Bin14  |     27.9 ± 108     |  30.41 ± 3.205   |   58.3 ± 108.1    |      1.019 ± 0.1106       |     3.439 ± 0.1653      |
| Bin15  |   83.69 ± 92.52    |  17.23 ± 2.413   |   100.9 ± 92.55   |      0.9953 ± 0.1092      |     2.645 ± 0.1449      |
| Bin16  |    83.69 ± 73.8    |   15.2 ± 2.266   |   98.89 ± 73.84   |     0.7674 ± 0.09593      |     2.359 ± 0.1369      |
| Bin17  |   111.6 ± 68.33    |   9.46 ± 1.788   |    121 ± 68.35    |     0.7435 ± 0.09442      |     1.993 ± 0.1258      |
| Bin18  |   111.6 ± 55.79    |  5.405 ± 1.351   |    117 ± 55.81    |     0.5036 ± 0.07771      |     1.668 ± 0.1151      |
| Bin19  |    27.9 ± 27.9     |   3.716 ± 1.12   |   31.61 ± 27.92   |     0.2878 ± 0.05874      |      1.39 ± 0.1051      |
| Bin20  |     0 ± 39.45      |  5.743 ± 1.393   |   5.743 ± 39.47   |     0.3837 ± 0.06783      |     1.223 ± 0.09856     |
| Bin21  |    27.9 ± 27.9     |  3.041 ± 1.014   |   30.94 ± 27.91   |     0.2638 ± 0.05624      |    0.8657 ± 0.08292     |
| Bin22  |       0 ± 0        |   3.716 ± 1.12   |   3.716 ± 1.12    |     0.2638 ± 0.05624      |    0.7863 ± 0.07902     |
| Bin23  |       0 ± 0        | 0.6757 ± 0.4778  |  0.6757 ± 0.4778  |     0.2518 ± 0.05495      |    0.5877 ± 0.06832     |
| Bin24  |       0 ± 0        |  1.351 ± 0.6757  |  1.351 ± 0.6757   |     0.1319 ± 0.03977      |    0.5798 ± 0.06786     |
| Bin25  |       0 ± 0        | 0.6757 ± 0.4778  |  0.6757 ± 0.4778  |     0.1319 ± 0.03977      |    0.3971 ± 0.05616     |
| Bin26  |       0 ± 0        | 0.3378 ± 0.3378  |  0.3378 ± 0.3378  |     0.1679 ± 0.04487      |    0.4289 ± 0.05836     |
| Bin27  |       0 ± 0        | 0.6757 ± 0.4778  |  0.6757 ± 0.4778  |     0.1079 ± 0.03597      |     0.2065 ± 0.0405     |
| Bin28  |       0 ± 0        |      0 ± 0       |       0 ± 0       |     0.05996 ± 0.02681     |    0.1985 ± 0.03971     |
| Bin29  |       0 ± 0        | 0.3378 ± 0.3378  |  0.3378 ± 0.3378  |     0.03597 ± 0.02077     |    0.2144 ± 0.04127     |
| Bin30  |       0 ± 0        | 0.3378 ± 0.3378  |  0.3378 ± 0.3378  |     0.01199 ± 0.01199     |     0.143 ± 0.03369     |
| Bin31  |       0 ± 0        |  1.351 ± 0.6757  |  1.351 ± 0.6757   |     0.05996 ± 0.02681     |    0.3971 ± 0.05616     |
+--------+--------------------+------------------+-------------------+---------------------------+-------------------------+
